ribasso_pct,pe,total_score
0.0,0.0,47.6
0.5,2.1677,48.2503
1.0,4.1788,48.8536
1.5,6.0445,49.4134
2.0,7.7755,49.9326
2.5,9.3813,50.4144
3.0,10.8712,50.8613
3.5,12.2533,51.276
4.0,13.5357,51.6607
4.5,14.7253,52.0176
5.0,15.829,52.3487
5.5,16.853,52.6559
6.0,17.8029,52.9409
6.5,18.6842,53.2053
7.0,19.5019,53.4506
7.5,20.2604,53.6781
8.0,20.9642,53.8893
8.5,21.6171,54.0851
9.0,22.2228,54.2668
9.5,22.7847,54.4354
10.0,23.3061,54.5918
10.5,23.7898,54.7369
11.0,24.2385,54.8716
11.5,24.6548,54.9964
12.0,25.041,55.1123
12.5,25.3994,55.2198
13.0,25.7318,55.3195
13.5,26.0402,55.4121
14.0,26.3263,55.4979
14.5,26.5918,55.5775
15.0,26.838,55.6514
15.5,27.0665,55.7199
16.0,27.2785,55.7835
16.5,27.4751,55.8425
17.0,27.6576,55.8973
17.5,27.8268,55.948
18.0,27.9838,55.9952
18.5,28.1295,56.0389
19.0,28.2647,56.0794
19.5,28.3901,56.117
20.0,28.5064,56.1519
